"year","month","state","primary_mode","etiology","etiology_status","setting","illnesses","hospitalizations","deaths","food_contaminated_ingredient","ifsac_category","water_exposure","etiology_category","setting_category"
2001,11,"New York","Food","Salmonella enterica","Confirmed","Restaurant: Other",17,2,0,,"Turkey",,"Bacterial","Food Service"
2001,11,"New York","Food","","","Private home/residence",13,6,0,,,,"Unknown","Home"
2001,11,"New York","Food","","","Caterer;Restaurant: Other",80,0,0,,,,"Unknown","Food Service"
2001,11,"Florida","Food","","","Restaurant: Other",2,0,0,,"Multiple",,"Unknown","Food Service"
2001,11,"Wisconsin","Food","Campylobacter jejuni","Confirmed","Other",75,0,0,,"Dairy",,"Bacterial","Other"
2001,11,"California","Food","Bacillus cereus;Clostridium perfringens","Suspected;Suspected","Restaurant: Other",5,0,0,,"Multiple",,"Bacterial","Food Service"
2001,11,"New York","Food","","","Other;Restaurant: Other",13,0,0,,"Multiple",,"Unknown","Food Service"
2001,11,"Colorado","Food","Norovirus Genogroup I","Suspected","Private home/residence",41,0,0,,"Root/Underground",,"Viral","Home"
2001,11,"Hawaii","Food","Ciguatoxin","Confirmed","Private home/residence",2,0,0,,"Fish",,"Chemical","Home"
2001,11,"Wisconsin","Food","Norovirus Genogroup I","Confirmed","Other",13,0,0,,,,"Viral","Other"
2001,11,"Texas","Food","Salmonella enterica","Confirmed","Correctional/detention facility",404,0,4,,,,"Bacterial","Institution"
2001,11,"Texas","Food","Escherichia coli, Shiga toxin-producing","Confirmed","Restaurant: Other",20,2,0,,"Multiple",,"Bacterial","Food Service"
2001,11,"Rhode Island","Food","Norovirus Genogroup I","Confirmed","Unknown",150,0,0,,,,"Viral","Unknown"
2001,11,"Virginia","Food","Clostridium perfringens","Confirmed","Caterer",23,1,0,,,,"Bacterial","Food Service"
2001,11,"Virginia","Food","Norovirus Genogroup I","Confirmed","School/college/university",91,1,0,,,,"Viral","School"
2001,11,"Virginia","Food","Norovirus Genogroup I","Confirmed","Restaurant: Other",28,0,0,,"Multiple",,"Viral","Food Service"
2001,11,"California","Food","","","Restaurant: Other",8,0,0,,"Multiple",,"Unknown","Food Service"
2001,11,"California","Food","","","Restaurant: Other",2,0,0,,,,"Unknown","Food Service"
2001,11,"California","Food","","","Restaurant: Other",6,0,0,,,,"Unknown","Food Service"
2001,11,"California","Food","Bacillus cereus","Suspected","Restaurant: Other",6,1,0,,"Multiple",,"Bacterial","Food Service"
2001,11,"California","Food","Norovirus Genogroup I","Suspected","Restaurant: Other",27,0,0,,,,"Viral","Food Service"
2001,11,"California","Food","Bacillus cereus","Suspected","Restaurant: Other",4,0,0,,"Multiple",,"Bacterial","Food Service"
2001,11,"New Jersey","Food","","","Restaurant: Other",26,0,0,,,,"Unknown","Food Service"
2001,11,"New Jersey","Food","Histamine","Confirmed","Private home/residence",6,0,0,,"Fish",,"Chemical","Home"
2001,11,"New Jersey","Food","Norovirus Genogroup I","Suspected","Restaurant: Other",25,0,0,,,,"Viral","Food Service"
2001,11,"Oklahoma","Food","Clostridium perfringens","Confirmed","Other",7,2,2,,,,"Bacterial","Other"
2001,11,"Pennsylvania","Food","Norovirus Genogroup I","Suspected","Restaurant: Other",75,0,0,,,,"Viral","Food Service"
2001,11,"Multistate","Food","Norovirus Genogroup I","Suspected","Restaurant: Other",53,0,0,,,,"Viral","Food Service"
2001,11,"Pennsylvania","Food","Norovirus Genogroup I","Suspected","Restaurant: Other",75,0,0,,,,"Viral","Food Service"
2001,11,"California","Food","Norovirus Genogroup I","Suspected","Private home/residence",26,0,0,,"Vegetable Row Crops",,"Viral","Home"
2001,11,"Ohio","Food","Bacillus cereus;Staphylococcus aureus","Suspected;Suspected","Restaurant: Other",3,0,0,,"Multiple",,"Bacterial","Food Service"
2001,11,"Ohio","Food","","","Restaurant: Other",2,0,0,,"Beef",,"Unknown","Food Service"
2001,11,"Ohio","Food","Norovirus unknown","Confirmed","Religious facility;Private home/residence",10,0,0,,"Multiple",,"Viral","Home"
